,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
30815,NM_015597.6,GPSM1,-1.034711663,0.786403961,1,-0.27098319,0.32010039
26248,NM_015599.3,PGM3,-0.35038032,0.166072708,1,-1.384933807,33.3634979
19444,NM_015600.5,ABHD12,-0.077093171,0.842396439,1,-0.198829091,15.16956987
4230,NM_015601.4,HERC4,0.283183138,0.330081386,1,0.973949959,27.65029416
16444,NM_015603.3,CCDC9,1.039182237,0.07974537,1,1.752165406,6.960941525
9578,NM_015604.4,DCAF4,-0.402219809,0.315994836,1,-1.002722366,19.73662411
2568,NM_015607.4,CHTOP,0.182481304,0.28347229,1,1.072551734,108.5152559
26947,NM_015610.4,WIPI2,-0.449768925,0.747272156,1,-0.32223832,1.636335345
33005,NM_015613.3,LRIT1,NA,NA,NA,NA,0
10425,NM_015617.3,PYGO1,0.149234068,0.751102361,1,0.317186147,9.037486978
25065,NM_015621.3,CCDC69,-0.029953254,0.937001828,1,-0.079038717,11.47032227
26961,NM_015622.6,CCZ1,-0.099565453,0.481975348,1,-0.70312902,124.580451
13063,NM_015626.10,WSB1,-0.160076355,0.379626754,1,-0.878584222,69.77145837
1163,NM_015627.3,LDLRAP1,0.23957849,0.523619368,1,0.63777621,17.90521968
16804,NM_015629.4,PRPF31,0.28284706,0.343739957,1,0.946801462,57.82694881
18258,NM_015630.4,EPC2,0.354330823,0.203751303,1,1.270936323,23.75043137
4580,NM_015631.6,TCTN3,-0.300365183,0.151514552,1,-1.43420226,46.07190188
7125,NM_015633.3,FGFR1OP2,-0.099422835,0.739284565,1,-0.332800918,25.08960902
4252,NM_015634.4,KIFBP,-0.026412541,0.872921188,1,-0.159949078,80.4897922
30543,NM_015635.4,GAPVD1,-1.305423416,0.17530778,1,-1.355344637,2.98977839
19535,NM_015638.3,TRPC4AP,-0.015384096,0.927923396,1,-0.090457839,74.86235704
1911,NM_015640.4,SERBP1,-0.041307385,0.796312692,1,-0.258122079,87.95038857
28088,NM_015641.4,TES,-0.236011543,0.328630423,1,-0.976876247,50.61741036
33710,NM_015645.5,C1QTNF5,NA,NA,NA,NA,0
7766,NM_015646.6,RAP1B,-0.300880102,0.610488794,1,-0.509375859,9.819194011
16396,NM_015649.3,IRF2BP1,0.462890176,0.553495195,1,0.592530811,10.73644665
19107,NM_015650.4,TRAF3IP1,0.864840339,0.565707678,1,0.574384443,0.898646963
30446,NM_015651.3,PHF19,0.175080785,0.805042923,1,0.246825954,8.413537435
20922,NM_015653.5,RIBC2,0.86586108,0.173136706,1,1.362193884,3.854330898
14022,NM_015654.5,NAT9,0.249011509,0.757490097,1,0.308778406,3.770380335
19449,NM_015655.4,ZNF337,-0.249536247,0.198339137,1,-1.286297838,51.88174339
9991,NM_015656.1,KIF26A,0.610869168,0.426398207,1,0.79537017,3.540191652
682,NM_015658.4,NOC2L,0.404048721,0.445381674,1,0.763137037,88.92406759
11439,NM_015659.3,RSL1D1,0.130444449,0.329927609,1,0.974259699,110.8976863
