,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
5249,NM_001363014.1,AZIN1,0.621469021,0.232441504,0.468937904,1.194093222,10.22990014
5250,NM_001037165.2,FOXK1,-0.683407171,0.23250527,0.468952057,-1.193930209,11.55391385
5251,NM_182471.4,PKM,0.557468606,0.232562671,0.468978504,1.193783491,242.8823547
5252,NM_018298.11,MCOLN3,0.256475301,0.232656865,0.469038189,1.193542788,54.01370316
5253,NM_207171.2,POGZ,0.334701486,0.232680858,0.469038189,1.193481488,39.17029487
5254,NM_005744.5,ARIH1,0.36777394,0.232752084,0.469092467,1.193299536,22.81954556
5255,NM_018191.4,RCBTB1,-1.410412479,0.233043763,0.469490208,-1.192554836,9.35434714
5256,NM_014709.4,USP34,0.268723242,0.23306283,0.469490208,1.192506177,57.40612894
5257,NM_001136020.3,ICA1,0.630611893,0.233126784,0.469490208,1.192342992,11.45955984
5258,NM_203288.2,RP9,0.220028068,0.233085597,0.469490208,1.19244808,70.05444333
5259,NM_001042635.2,NGDN,0.174946979,0.233436871,0.469717668,1.191552215,178.2026121
5260,NM_001186.4,BACH1,0.299281907,0.233393699,0.469717668,1.191662267,35.47934661
5261,NM_006153.6,NCK1,0.450628175,0.233288167,0.469717668,1.191931344,17.10234149
5262,NM_005663.5,NELFA,-0.948700693,0.233461525,0.469717668,-1.191489376,11.8760092
5263,NM_001271675.1,LOC441155,0.204368534,0.233395262,0.469717668,1.191658282,87.47022942
5264,NM_152713.5,STT3A,0.213566475,0.233855265,0.470265678,1.190486417,94.09263742
5265,NM_020459.1,PAIP2B,0.307388038,0.233937136,0.470265678,1.190278023,35.80403586
5266,NM_030917.4,FIP1L1,0.23266743,0.233953425,0.470265678,1.190236566,61.7973421
5267,NM_032765.4,TRIM52,0.314180991,0.233810138,0.470265678,1.190601307,35.17175615
5268,NM_032509.4,MAK16,0.295460014,0.233955953,0.470265678,1.190230131,37.75356995
5269,NM_014937.4,INPP5F,0.316551787,0.234179406,0.470541298,1.189661646,30.97952594
5270,NM_001320678.1,SETMAR,0.294477151,0.234181947,0.470541298,1.189655183,38.79604495
5271,NM_001242817.2,DEF8,-0.675690592,0.234552185,0.471106428,-1.188714113,9.51485295
5272,NM_018146.4,MRM3,-0.282608396,0.234517323,0.471106428,-1.188802681,54.35756331
5273,NM_017633.3,TENT5A,0.470896289,0.234602177,0.471117476,1.188587124,14.18729186
5274,NM_001363663.1,FUZ,-0.431236009,0.23465372,0.471131635,-1.188456216,21.61777436
5275,NM_004332.4,BPHL,-0.29832365,0.234751896,0.471239399,-1.188206924,37.31942488
5276,NM_001162536.3,RBMXL1,0.333331967,0.234920512,0.471309833,1.187778945,27.36661591
5277,NM_001248004.2,ARNTL2,-0.461639821,0.234867541,0.471309833,-1.187913373,16.4975205
5278,NM_014413.4,EIF2AK1,0.1665311,0.234892019,0.471309833,1.18785125,168.3800754
5279,NM_025207.5,FLAD1,-0.441862768,0.235064043,0.471419158,-1.187414804,17.03670399
5280,NM_001135673.4,ATL2,0.285310784,0.235037443,0.471419158,1.187482278,46.76605182
5281,NM_015306.3,USP24,0.254231803,0.235224107,0.471532755,1.187008908,54.36828051
5282,NM_002394.6,SLC3A2,-0.428736259,0.235181514,0.471532755,-1.187116897,23.83737121
5283,NM_023034.2,NSD3,0.282652172,0.235254278,0.471532755,1.186932421,43.78718649
5284,NM_000165.5,GJA1,0.22972292,0.235554634,0.472045423,1.186171361,70.20537955
